date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:52	98943/98943	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2012:44:53%20GMT	https://dtpregnancy.wpengine.com/side-navigation/giving-birth/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/dtpregnancy.wpengine.com/side-navigation/giving-birth/index.html	(from )
18:14:52	26/26	---M--	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:44:53%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
18:14:52	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:44:54%20GMT	http://explorercanvas.googlecode.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/explorercanvas.googlecode.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:52	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:44:54%20GMT	http://fonts.googleapis.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/fonts.googleapis.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:52	178/178	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2012:44:54%20GMT	http://code.jquery.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/code.jquery.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:52	1905/1905	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2012:44:54%20GMT	https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/fonts.googleapis.com/css0f22.css	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:53	86530/86530	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2012:44:55%20GMT	http://s.w.org/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/s.w.org/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:53	204/204	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jan%202021%2022:04:58%20GMT	http://maxcdn.bootstrapcdn.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/maxcdn.bootstrapcdn.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:53	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
18:14:54	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/givingbirth/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/giving-birth/)
